manufacturer,nombreproducto,price,img_src,url
GENEVE,RING HALF ETERNITY,"2.220,00 €",https://www.genevecompany.com/34118-large_default/geneve-jewels-ring-half-eternity-gg22252.jpg ,https://www.genevecompany.com/en/ring/199994-geneve-jewels-ring-half-eternity-gg22252.html
GENEVE,RING CLUSTER,"2.220,00 €",https://www.genevecompany.com/28182-large_default/geneve-jewels-ring-cluster-false.jpg ,https://www.genevecompany.com/en/ring/196322-geneve-jewels-ring-cluster-false.html
GENEVE,RING HALO,"2.250,00 €",https://www.genevecompany.com/32224-large_default/geneve-jewels-ring-halo-mv1263.jpg ,https://www.genevecompany.com/en/ring/199000-geneve-jewels-ring-halo-mv1263.html
GENEVE,RING HALO,"2.250,00 €",https://www.genevecompany.com/32225-large_default/geneve-jewels-ring-halo-mv1265.jpg ,https://www.genevecompany.com/en/ring/199002-geneve-jewels-ring-halo-mv1265.html
GENEVE,RING SOLITAIRE,"2.195,00 €",https://www.genevecompany.com/36049-large_default/geneve-jewels-ring-solitaire-gi31639-123-026.jpg ,https://www.genevecompany.com/en/ring/126970-geneve-jewels-ring-solitaire-gi31639-123-026.html
GENEVE,RING,"2.195,00 €",https://www.genevecompany.com/32617-large_default/geneve-jewels-ring-gg22166.jpg ,https://www.genevecompany.com/en/ring/199765-geneve-jewels-ring-gg22166.html
GENEVE,RING HALF ETERNITY,"2.300,00 €",https://www.genevecompany.com/26551-large_default/geneve-jewels-ring-half-eternity-gg21533.jpg ,https://www.genevecompany.com/en/ring/197620-geneve-jewels-ring-half-eternity-gg21533.html
GENEVE,RING CLUSTER,"2.265,00 €",https://www.genevecompany.com/34915-large_default/geneve-jewels-ring-cluster-gg22384.jpg ,https://www.genevecompany.com/en/ring/200832-geneve-jewels-ring-cluster-gg22384.html
GENEVE,RING HALF ETERNITY,"2.255,00 €",https://www.genevecompany.com/32635-large_default/geneve-jewels-ring-half-eternity-gg22021.jpg ,https://www.genevecompany.com/en/ring/199488-geneve-jewels-ring-half-eternity-gg22021.html
GENEVE,RING HALO,"2.315,00 €",https://www.genevecompany.com/35132-large_default/geneve-jewels-ring-halo-mv1316.jpg ,https://www.genevecompany.com/en/ring/201010-geneve-jewels-ring-halo-mv1316.html
GENEVE,RING ETERNITY,"2.360,00 €",https://www.genevecompany.com/35802-large_default/geneve-jewels-ring-eternity-gg18100.jpg ,https://www.genevecompany.com/en/ring/185300-geneve-jewels-ring-eternity-gg18100.html
GENEVE,RING ETERNITY,"2.365,00 €",https://www.genevecompany.com/32626-large_default/geneve-jewels-ring-eternity-gg21995.jpg ,https://www.genevecompany.com/en/ring/199464-geneve-jewels-ring-eternity-gg21995.html
GENEVE,RING HALO,"2.330,00 €",https://www.genevecompany.com/36740-large_default/geneve-jewels-ring-halo-gg22517.jpg ,https://www.genevecompany.com/en/ring/201610-geneve-jewels-ring-halo-gg22517.html
GENEVE,RING HALF ETERNITY,"2.415,00 €",https://www.genevecompany.com/32637-large_default/geneve-jewels-ring-half-eternity-gg22005.jpg ,https://www.genevecompany.com/en/ring/199475-geneve-jewels-ring-half-eternity-gg22005.html
GENEVE,RING HALO,"2.390,00 €",https://www.genevecompany.com/32187-large_default/geneve-jewels-ring-halo-mv1261.jpg ,https://www.genevecompany.com/en/ring/198998-geneve-jewels-ring-halo-mv1261.html
GENEVE,RING CLUSTER,"2.425,00 €",https://www.genevecompany.com/32620-large_default/geneve-jewels-ring-cluster-gg22013.jpg ,https://www.genevecompany.com/en/ring/199481-geneve-jewels-ring-cluster-gg22013.html
GENEVE,RING ENGAGEMENT,"2.455,00 €",https://www.genevecompany.com/34403-large_default/geneve-jewels-ring-engagement-gg20408.jpg ,https://www.genevecompany.com/en/ring/194897-geneve-jewels-ring-engagement-gg20408.html
GENEVE,RING SOLITAIRE,"2.340,00 €",https://www.genevecompany.com/36748-large_default/geneve-jewels-ring-solitaire-gg22526.jpg ,https://www.genevecompany.com/en/ring/201629-geneve-jewels-ring-solitaire-gg22526.html
GENEVE,RING CLUSTER,"2.300,00 €",https://www.genevecompany.com/33990-large_default/geneve-jewels-ring-cluster-gg20960.jpg ,https://www.genevecompany.com/en/ring/196093-geneve-jewels-ring-cluster-gg20960.html
